SideEffect,Disease,Pvalue
myositis,Diabetic Nephropathies,0.00000278
myositis,"Ventricular Dysfunction, Left",0.00000278
sialadenitis,Hypertension,0.00000282
hemolytic anemia,Haemophilus Infections,0.00000284
congestive heart failure,Osteoarthritis,0.00000284
seizures,Heart Failure,0.00000285
seizures,Hypertension,0.00000286
aplastic anemia,Streptococcal Infections,0.00000299
tinnitus,Depressive Disorder,0.00000303
blurred vision,Depressive Disorder,0.00000303
Stevens - Johnson syndrome,"Pneumonia, Bacterial",0.00000304
memory loss,"Tachycardia, Ventricular",0.00000305
hyponatremia,Bipolar Disorder,0.00000306
colitis,Soft Tissue Infections,0.00000308
spasm,Psychotic Disorders,0.0000031
sore throat,Angina Pectoris,0.0000031
amenorrhea,Depressive Disorder,0.00000311
angina pectoris,Hypertension,0.00000315
alkalosis,Inflammation,0.0000032
moniliasis,Pseudomonas Infections,0.00000324
interstitial pneumonitis,Breast Neoplasms,0.00000325
goiter,Bipolar Disorder,0.00000326
anaphylaxis,"Skin Diseases, Bacterial",0.00000331
laryngitis,Obsessive-Compulsive Disorder,0.00000332
otitis media,Obsessive-Compulsive Disorder,0.00000332
blepharospasm,Parkinson Disease,0.00000333
tinnitus,Hypertension,0.00000333
vaginal moniliasis,Streptococcal Infections,0.00000339
Stevens - Johnson syndrome,Soft Tissue Infections,0.00000349
metrorrhagia,Depressive Disorder,0.00000354
erythema multiforme,Streptococcal Infections,0.00000357
acne,Obsessive-Compulsive Disorder,0.00000357
acne,Bipolar Disorder,0.0000037
serum sickness,Bronchitis,0.00000386
thrombophlebitis,Breast Neoplasms,0.00000389
vaginal moniliasis,Urinary Tract Infections,0.0000039
aplastic anemia,Osteoarthritis,0.00000392
salivary gland enlargement,Obsessive-Compulsive Disorder,0.00000393
nerve palsy,Coronary Artery Disease,0.00000393
nerve palsy,Hyperlipoproteinemias,0.00000393
nerve palsy,Hypertriglyceridemia,0.00000393
acute leukemia,Breast Neoplasms,0.00000401
nausea,Vomiting,0.00000406
hemorrhage,Haemophilus Infections,0.00000408
dehydration,Obsessive-Compulsive Disorder,0.00000413
urinary incontinence,Obsessive-Compulsive Disorder,0.00000413
migraine,Obsessive-Compulsive Disorder,0.00000413
gingivitis,Obsessive-Compulsive Disorder,0.00000418
nystagmus,Obsessive-Compulsive Disorder,0.00000418
moniliasis,"Skin Diseases, Bacterial",0.00000435
hyperuricemia,Heart Failure,0.00000442
menorrhagia,"Epilepsies, Partial",0.00000444
vaginal hemorrhage,Bipolar Disorder,0.00000445
sialadenitis,Nephrotic Syndrome,0.00000446
infection,Ovarian Neoplasms,0.00000455
Aseptic necrosis,Rheumatic Diseases,0.00000461
hemorrhage,Soft Tissue Infections,0.00000488
leukopenia,Asthma,0.00000492
rectal hemorrhage,Osteoarthritis,0.00000492
hoarseness,Asthma,0.00000499
personality disorder,Bipolar Disorder,0.00000506
AV block,Hypertension,0.00000514
seborrhea,Bipolar Disorder,0.00000518
apraxia,Bipolar Disorder,0.00000521
glaucoma,Obsessive-Compulsive Disorder,0.00000521
urinary incontinence,"Epilepsies, Partial",0.00000523
urinary frequency,Bipolar Disorder,0.00000529
thrombocythemia,Pseudomonas Infections,0.00000538
hemolytic anemia,Gonorrhea,0.00000539
hemolytic anemia,"Pneumonia, Bacterial",0.00000539
postural hypotension,Depressive Disorder,0.00000545
miliaria,Dermatitis,0.00000546
retinal detachment,Cytomegalovirus Retinitis,0.00000546
splenomegaly,Cytomegalovirus Retinitis,0.00000546
stuttering,Bipolar Disorder,0.00000546
decreased libido,Attention Deficit Disorder with Hyperactivity,0.00000548
hypoventilation,Status Epilepticus,0.00000556
seizures,"Pneumonia, Bacterial",0.00000564
furunculosis,Obsessive-Compulsive Disorder,0.00000578
hemoptysis,Obsessive-Compulsive Disorder,0.0000058
interstitial nephritis,Dysmenorrhea,0.0000058
pancytopenia,Escherichia coli Infections,0.00000585
ischemic colitis,Hypertension,0.00000591
movement disorders,"Epilepsies, Partial",0.00000595
cold extremities,Angina Pectoris,0.00000613
cold extremities,Myocardial Infarction,0.00000613
constrictive pericarditis,Hyperprolactinemia,0.00000623
multifocal atrial tachycardia,Pulmonary Emphysema,0.00000623
porphyria,"Diabetes Mellitus, Type 2",0.00000642
hyperpigmentation,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.00000643
vaginal moniliasis,Pseudomonas Infections,0.00000646
anaphylactoid purpura,Gram-Positive Bacterial Infections,0.00000657
polyneuropathy,Pancreatic Neoplasms,0.00000657
agranulocytosis,"Skin Diseases, Bacterial",0.00000659
congestive heart failure,Dysmenorrhea,0.00000677
lymphadenopathy,Obsessive-Compulsive Disorder,0.00000677
angioedema,Osteoarthritis,0.00000681
cardiac arrest,Atrial Fibrillation,0.00000686
gum hemorrhage,Obsessive-Compulsive Disorder,0.00000687
seizures,Haemophilus Infections,0.00000691
spasm,Edema,0.00000697
breast enlargement,Panic Disorder,0.00000713
vaginal discharge,Breast Neoplasms,0.00000723
exophthalmos,Adrenal Insufficiency,0.00000728
exophthalmos,Hypersensitivity,0.00000728
labyrinthitis,"Rhinitis, Allergic, Perennial",0.00000728
myopia,"Glaucoma, Angle-Closure",0.00000728
testicular swelling,Enuresis,0.00000728
toxic epidermal necrolysis,"Pneumonia, Bacterial",0.0000073
Stevens - Johnson syndrome,"Arthritis, Rheumatoid",0.00000746
dry skin,Obsessive-Compulsive Disorder,0.00000774
nerve palsy,Hypercholesterolemia,0.00000777
mental depression,"Tachycardia, Supraventricular",0.00000788
mental depression,"Tachycardia, Ventricular",0.00000788
exophthalmos,Depressive Disorder,0.00000788
choreoathetosis,Obsessive-Compulsive Disorder,0.00000788
telangiectasia,Inflammation,0.00000793
photosensitivity,Schizophrenia,0.00000808
priapism,Obsessive-Compulsive Disorder,0.00000812
infection,Soft Tissue Infections,0.00000829
leukocytosis,Schizophrenia,0.0000084
mental depression,Hypertension,0.0000085
tachycardia,Depressive Disorder,0.00000854
hiccup,Depressive Disorder,0.00000865
apnea,Status Epilepticus,0.00000873
folliculitis,Inflammation,0.00000873
eructation,Bipolar Disorder,0.00000875
weakness,Hypertension,0.00000879
aseptic meningitis,Inflammation,0.00000886
nephropathy,Pharyngitis,0.00000887
weakness,Nephrotic Syndrome,0.0000089
dysuria,Osteoarthritis,0.00000893
cardiac arrest,Atrial Flutter,0.00000893
flushing,Diabetic Nephropathies,0.00000894
flushing,"Ventricular Dysfunction, Left",0.00000894
Pharyngitis,Diabetic Nephropathies,0.00000894
Pharyngitis,"Ventricular Dysfunction, Left",0.00000894
abdominal pain,"Glaucoma, Open-Angle",0.00000902
nasal congestion,"Rhinitis, Allergic, Perennial",0.00000905
confusion,Depressive Disorder,0.00000925
hypertriglyceridemia,Acquired Immunodeficiency Syndrome,0.00000934
iritis,"Glaucoma, Open-Angle",0.00000934
fatigue,Diabetic Nephropathies,0.00000944
fatigue,"Ventricular Dysfunction, Left",0.00000944
alkalosis,Adrenal Insufficiency,0.00000946
alkalosis,Hypersensitivity,0.00000946
diarrhea,Hypertension,0.00000946
hypothyroidism,Depressive Disorder,0.00000948
Stevens - Johnson syndrome,"Skin Diseases, Bacterial",0.00000958
interstitial pneumonitis,Lung Neoplasms,0.00000975
interstitial pneumonitis,Ovarian Neoplasms,0.00000975
vomiting,Nausea,0.0000098
vasculitis,Osteoarthritis,0.00000996
thrombocytopenia,Haemophilus Infections,0.00001
diplopia,Obsessive-Compulsive Disorder,0.0000101
serum sickness,Pharyngitis,0.0000101
neurosis,Depressive Disorder,0.0000103
sexual dysfunction,Depressive Disorder,0.0000103
aplastic anemia,"Bone Diseases, Infectious",0.0000105
pancreatitis,Acquired Immunodeficiency Syndrome,0.0000105
alopecia,Staphylococcal Infections,0.0000108
vasculitis,Heart Failure,0.0000108
palpitations,Diabetic Nephropathies,0.0000109
palpitations,"Ventricular Dysfunction, Left",0.0000109
arachnoiditis,Hematologic Diseases,0.000011
arachnoiditis,Neoplasms,0.000011
hypertrichosis,Inflammation,0.0000111
paralytic ileus,Depressive Disorder,0.0000111
seizures,Escherichia coli Infections,0.0000111
hepatic failure,Osteoarthritis,0.0000111
bursitis,Obsessive-Compulsive Disorder,0.0000112
vaginitis,Pharyngitis,0.0000112
urinary urgency,Obsessive-Compulsive Disorder,0.0000112
psychosis,Parkinson Disease,0.0000114
renal papillary necrosis,"Arthritis, Juvenile Rheumatoid",0.0000115
renal papillary necrosis,Dysmenorrhea,0.0000115
acute leukemia,"Leukemia, Myeloid, Acute",0.0000115
vasculitis,Nephrotic Syndrome,0.0000116
urinary retention,Pain,0.0000118
infection,Escherichia coli Infections,0.0000119
Lipodystrophy,Acquired Immunodeficiency Syndrome,0.000012
latent diabetes,Adrenal Insufficiency,0.000012
latent diabetes,Hypersensitivity,0.000012
toxic epidermal necrolysis,Otitis Media,0.0000121
jaundice,Osteoarthritis,0.0000121
weakness,Streptococcal Infections,0.0000123
striae,"Rhinitis, Allergic, Perennial",0.0000123
cold extremities,"Tachycardia, Supraventricular",0.0000123
neurosis,"Epilepsies, Partial",0.0000124
hyperacusis,Panic Disorder,0.0000124
heart failure,"Tachycardia, Supraventricular",0.0000127
hyperuricemia,Neuroblastoma,0.0000129
impotence,Bipolar Disorder,0.000013
hairy tongue,Gram-Positive Bacterial Infections,0.0000131
gingivitis,Bipolar Disorder,0.0000136
exophthalmos,Panic Disorder,0.0000138
hypoglycemia,"Diabetes Mellitus, Type 2",0.0000139
pancreatitis,Edema,0.0000142
tooth caries,Depressive Disorder,0.0000143
tenosynovitis,Depressive Disorder,0.0000143
Diaper rash,Proteus Infections,0.0000144
chest pain substernal,Cystitis,0.0000144
polyuria,Bipolar Disorder,0.0000145
thrombophlebitis,Bacteroides Infections,0.0000145
bursitis,Depressive Disorder,0.0000146
urinary urgency,Depressive Disorder,0.0000146
urinary incontinence,Depressive Disorder,0.0000149
alopecia,Lung Neoplasms,0.000015
alopecia,Ovarian Neoplasms,0.000015
hallucinations,Panic Disorder,0.0000151
skin atrophy,Dermatitis,0.0000151
paralytic ileus,Schizophrenia,0.0000152
labyrinthitis,Urticaria,0.0000153
movement disorders,Bipolar Disorder,0.0000153
sinus arrest,Atrial Flutter,0.0000153
hypertension,Pain,0.0000154
osteoporosis,Graft vs Host Disease,0.0000155
osteoporosis,Hematologic Diseases,0.0000155
osteoporosis,Neoplasms,0.0000155
elevated liver enzymes,"Spondylitis, Ankylosing",0.0000155
infection,Proteus Infections,0.0000156
weight loss,Obsessive-Compulsive Disorder,0.0000156
scleritis,"Osteoporosis, Postmenopausal",0.0000157
scleritis,"Paget Disease, Extramammary",0.0000157
infection,Haemophilus Infections,0.0000159
pancytopenia,"Pneumonia, Bacterial",0.0000159
angina pectoris,Heart Failure,0.000016
glossitis,Bipolar Disorder,0.000016
laryngitis,Depressive Disorder,0.0000162
thrombocytopenia,Klebsiella Infections,0.0000163
decreased libido,Coronary Artery Disease,0.0000165
decreased libido,Hyperlipoproteinemias,0.0000165
decreased libido,Hypertriglyceridemia,0.0000165
thrombocythemia,Gonorrhea,0.0000167
hyperglycemia,Bipolar Disorder,0.0000168
stomatitis,Hypertension,0.0000168
breast enlargement,Attention Deficit Disorder with Hyperactivity,0.0000169
SIADH,Hodgkin Disease,0.0000169
nephropathy,Otitis Media,0.0000169
seizures,Streptococcal Infections,0.0000169
meningismus,Pain,0.0000173
elevated liver enzymes,"Arthritis, Juvenile Rheumatoid",0.0000173
nightmares,Attention Deficit Disorder with Hyperactivity,0.0000174
agitation,Psychotic Disorders,0.0000174
abnormal vision,Obsessive-Compulsive Disorder,0.0000175
anemia,Breast Neoplasms,0.0000178
cough,Diabetic Nephropathies,0.000018
cough,"Ventricular Dysfunction, Left",0.000018
apraxia,Alzheimer Disease,0.0000183
mitral insufficiency,Schizophrenia,0.0000185
positive ANA,Coronary Artery Disease,0.0000185
positive ANA,Hyperlipoproteinemias,0.0000185
positive ANA,Hypertriglyceridemia,0.0000185
bullous pemphigus,Diabetic Nephropathies,0.0000185
bullous pemphigus,"Ventricular Dysfunction, Left",0.0000185
drug dependence,Tobacco Use Disorder,0.0000185
alopecia,Urinary Tract Infections,0.0000186
suicide attempt,"Epilepsies, Partial",0.0000186
hyperuricemia,"Leukemia, Myeloid, Acute",0.0000186
cervical erosion,Endometrial Hyperplasia,0.0000187
cervical erosion,Uterine Hemorrhage,0.0000187
acute intermittent porphyria,"Epilepsy, Complex Partial",0.0000187
multifocal atrial tachycardia,Apnea,0.0000187
heart block,Panic Disorder,0.0000188
gynecomastia,Duodenal Ulcer,0.0000196
interstitial nephritis,Escherichia coli Infections,0.0000196
gastritis,Obsessive-Compulsive Disorder,0.0000197
glossitis,Osteoarthritis,0.0000198
breast pain,Bipolar Disorder,0.0000198
hypertension,Depressive Disorder,0.0000201
increased salivation,Schizophrenia,0.0000203
oral moniliasis,Klebsiella Infections,0.0000204
vaginal moniliasis,"Pneumonia, Bacterial",0.0000205
dysphagia,Schizophrenia,0.0000205
urinary retention,Psychotic Disorders,0.0000205
claudication,Heart Failure,0.0000205
hepatitis,Diabetic Nephropathies,0.0000206
hepatitis,"Ventricular Dysfunction, Left",0.0000206
impotence,Schizophrenia,0.0000206
numbness,Depressive Disorder,0.0000209
cerebrovascular accident,Breast Neoplasms,0.0000212
cold extremities,Hypertension,0.0000212
purpura,Heart Failure,0.0000213
visual field defect,"Epilepsies, Partial",0.0000213
constitutional symptoms,Leukemia,0.0000214
constitutional symptoms,Sarcoma,0.0000214
constitutional symptoms,Urinary Bladder Neoplasms,0.0000214
megaloblastic anemia,"Epilepsy, Tonic-Clonic",0.0000216
myasthenia gravis,"Conjunctivitis, Bacterial",0.0000216
myasthenia gravis,Prostatitis,0.0000216
pancytopenia,"Skin Diseases, Bacterial",0.0000216
anaphylaxis,Bronchitis,0.000022
choreoathetosis,Schizophrenia,0.000022
menorrhagia,Bipolar Disorder,0.0000221
headache,Hypertension,0.0000222
aplastic anemia,Urinary Tract Infections,0.0000225
petit mal,Psychotic Disorders,0.0000225
stuttering,Psychotic Disorders,0.0000225
palpitations,Hypertension,0.0000226
dermatomyositis,Coronary Artery Disease,0.0000228
dermatomyositis,Hyperlipoproteinemias,0.0000228
dermatomyositis,Hypertriglyceridemia,0.0000228
sinus arrest,"Tachycardia, Ventricular",0.0000228
testicular swelling,Attention Deficit Disorder with Hyperactivity,0.0000228
nocturia,Depressive Disorder,0.0000229
hallucinations,Pain,0.0000232
tremor,Bipolar Disorder,0.0000232
galactorrhea,Schizophrenia,0.0000232
dysphagia,Obsessive-Compulsive Disorder,0.0000234
urinary retention,Obsessive-Compulsive Disorder,0.0000234
urinary retention,Tourette Syndrome,0.0000234
nephrotic syndrome,"Arthritis, Juvenile Rheumatoid",0.0000237
varicose vein,Obsessive-Compulsive Disorder,0.0000237
nystagmus,Depressive Disorder,0.0000238
hearing loss,Dysmenorrhea,0.0000238
blepharitis,"Glaucoma, Open-Angle",0.000024
oral moniliasis,Asthma,0.0000242
hemolytic anemia,Osteoarthritis,0.0000245
ascites,Multiple Myeloma,0.0000245
dysmenorrhea,Depressive Disorder,0.0000248
tinnitus,Pain,0.0000253
cystitis,Bipolar Disorder,0.0000256
vaginitis,Bacteroides Infections,0.0000256
phlebitis,Klebsiella Infections,0.0000258
arthralgia,Diabetic Nephropathies,0.0000259
arthralgia,"Ventricular Dysfunction, Left",0.0000259
psoriasis,Obsessive-Compulsive Disorder,0.0000259
gout,Diabetic Nephropathies,0.000026
gout,"Ventricular Dysfunction, Left",0.000026
peripheral neuropathy,Ovarian Neoplasms,0.000026
pancytopenia,Soft Tissue Infections,0.0000262
pseudomembranous colitis,Acinetobacter Infections,0.0000263
pseudomembranous colitis,"Genital Diseases, Female",0.0000263
exfoliative dermatitis,"Arthritis, Rheumatoid",0.0000268
dyspnea,Diabetic Nephropathies,0.0000268
dyspnea,"Ventricular Dysfunction, Left",0.0000268
ecchymosis,Inflammation,0.0000269
leukopenia,Urinary Tract Infections,0.000027
ovarian cyst,Depressive Disorder,0.000027
striae,Dermatitis,0.000027
meningitis,Osteoarthritis,0.0000272
Diaper rash,Sinusitis,0.0000274
infection,"Skin Diseases, Bacterial",0.0000274
jaundice,Asthma,0.0000274
pigmentary retinopathy,Nausea,0.0000274
vasculitis,Hypertension,0.0000275
dysphonia,Asthma,0.0000275
bronchitis,Obsessive-Compulsive Disorder,0.0000278
anaphylaxis,Otitis Media,0.0000284
fibrosis,Ovarian Neoplasms,0.0000284
exophthalmos,Rheumatic Diseases,0.0000288
exophthalmos,"Stress Disorders, Post-Traumatic",0.0000288
dysphasia,"Conjunctivitis, Bacterial",0.0000288
dysphasia,Prostatitis,0.0000288
agranulocytosis,"Arthritis, Rheumatoid",0.0000289
nervousness,Osteoarthritis,0.0000291
cholelithiasis,Obsessive-Compulsive Disorder,0.0000294
inflammatory bowel disease,Inflammation,0.0000295
pain,Pain,0.0000297
fatigue,Hypertension,0.0000298
tenosynovitis,Obsessive-Compulsive Disorder,0.0000298
claudication,Angina Pectoris,0.00003
eructation,Dysmenorrhea,0.0000304
nephrotic syndrome,Inflammation,0.0000304
striae,Asthma,0.0000304
gastritis,Bipolar Disorder,0.0000308
cardiac arrest,Psychotic Disorders,0.0000308
toxic epidermal necrolysis,"Arthritis, Juvenile Rheumatoid",0.000031
personality disorder,Alzheimer Disease,0.000031
toxic epidermal necrolysis,"Arthritis, Rheumatoid",0.0000318
cachexia,Cytomegalovirus Retinitis,0.0000321
interstitial pneumonitis,Testicular Neoplasms,0.0000322
proteinuria,"Arthritis, Rheumatoid",0.0000324
sinus arrest,Ventricular Fibrillation,0.0000326
nocturia,Obsessive-Compulsive Disorder,0.0000329
pseudomembranous colitis,Septicemia,0.0000333
heart block,Angina Pectoris,0.0000339
elevated liver enzymes,Osteoarthritis,0.0000343
postural hypotension,Obsessive-Compulsive Disorder,0.0000345
ecchymosis,Osteoarthritis,0.0000347
heartburn,"Spondylitis, Ankylosing",0.000035
peptic ulcer,Hematologic Diseases,0.000035
peptic ulcer,Neoplasms,0.000035
hypothyroidism,Bipolar Disorder,0.0000351
aplastic anemia,Nephrotic Syndrome,0.0000353
hyperkalemia,Heart Failure,0.0000358
vaginal hemorrhage,Depressive Disorder,0.0000359
sialadenitis,Heart Failure,0.0000362
ascites,Lung Neoplasms,0.0000363
oral moniliasis,Haemophilus Infections,0.0000363
dermatomyositis,Hypercholesterolemia,0.0000363
positive ANA,Hypercholesterolemia,0.0000363
eczema,Bipolar Disorder,0.0000364
psychosis,Bipolar Disorder,0.0000364
purpura,Depressive Disorder,0.0000364
cerebrovascular accident,Depressive Disorder,0.000037
